carid, pointid, lon,lat,elevation,speed,sat,heading,dummydatetime
51,1092,6.0865747,52.5030569,43.443,42.696,25,261.1802567393129,2022-02-05T14:00:00Z
51,1093,6.08640684,52.50307122,43.664,42.408,24,262.14254937979007,2022-02-05T14:00:00Z
51,1094,6.08623206,52.50308639,43.45,43.56,24,262.0075222309209,2022-02-05T14:00:00Z
51,1095,6.08604671,52.50310249,43.575,45.0,26,262.00127562045986,2022-02-05T14:00:00Z
51,1096,6.08586125,52.50312309,43.617,45.792,27,259.81474031690163,2022-02-05T14:00:00Z
51,1097,6.08568027,52.50314319,43.419,44.748,28,259.8162806953533,2022-02-05T14:00:00Z
51,1098,6.08550172,52.5031605,43.813,43.776,29,261.0880146660557,2022-02-05T14:00:00Z
51,1099,6.08533574,52.50317821,43.601,42.12,28,260.2090187319089,2022-02-05T14:00:00Z
51,1100,6.08518865,52.50319648,43.792,38.232,31,258.6424366275206,2022-02-05T14:00:00Z
51,1101,6.0850535,52.50321056,43.867,33.912,31,260.43687107062243,2022-02-05T14:00:00Z
51,1102,6.08494172,52.50322544,43.861,28.08,31,257.85270846219345,2022-02-05T14:00:00Z
51,1103,6.08484337,52.50322002,43.695,23.759999999999998,31,275.08876445804526,2022-02-05T14:00:00Z
51,1104,6.08476936,52.50318062,43.581,23.328000000000003,31,310.71463624256654,2022-02-05T14:00:00Z
51,1105,6.08472847,52.50312267,43.875,24.624,32,336.42064089571994,2022-02-05T14:00:00Z
51,1106,6.08470055,52.50305251,44.524,26.748,32,346.1723762286193,2022-02-05T14:00:00Z
51,1107,6.08467296,52.50297889,44.89,27.791999999999998,32,346.95074801839814,2022-02-05T14:00:00Z
51,1108,6.08464703,52.50288867,44.481,33.804,32,349.9219085810049,2022-02-05T14:00:00Z
51,1109,6.08461487,52.50278595,44.547,41.507999999999996,32,349.04373511866356,2022-02-05T14:00:00Z
51,1110,6.08457286,52.50266475,44.436,48.672,32,347.9047400762573,2022-02-05T14:00:00Z
51,1111,6.08453503,52.50254307,44.044,49.68000000000001,32,349.1214430791242,2022-02-05T14:00:00Z
51,1112,6.08450085,52.50241314,44.099,52.38,32,350.76517705909765,2022-02-05T14:00:00Z
51,1113,6.08446134,52.50228056,44.471,53.964,32,349.565577029668,2022-02-05T14:00:00Z
51,1114,6.08441749,52.50214842,44.42,53.604000000000006,32,348.41321233115093,2022-02-05T14:00:00Z
51,1115,6.08437319,52.50203264,44.759,49.14,32,346.7014502846295,2022-02-05T14:00:00Z
51,1116,6.0843257,52.50191615,44.852,46.872,32,345.8666126044037,2022-02-05T14:00:00Z
51,1117,6.08428471,52.50179962,45.112,46.224000000000004,32,347.74401203015367,2022-02-05T14:00:00Z
51,1118,6.08424644,52.50169591,45.269,42.408,32,347.16413346344694,2022-02-05T14:00:00Z
51,1119,6.08421297,52.50161386,44.79,34.668000000000006,32,345.8642154622171,2022-02-05T14:00:00Z
51,1120,6.08418986,52.50153895,44.68,30.636,32,349.2173387598459,2022-02-05T14:00:00Z
51,1121,6.08420046,52.50146406,45.0,29.736,31,4.99314620782809,2022-02-05T14:00:00Z
51,1122,6.08427028,52.50139829,44.548,31.031999999999996,31,33.23374276355213,2022-02-05T14:00:00Z
51,1123,6.08438019,52.50134656,44.366,34.344,31,52.671436730763105,2022-02-05T14:00:00Z
51,1124,6.08453938,52.50131581,43.828,39.852000000000004,32,72.62237048922441,2022-02-05T14:00:00Z
51,1125,6.08472685,52.50129062,43.824,47.124,33,77.71988693132124,2022-02-05T14:00:00Z
51,1126,6.08494515,52.50126756,43.354,54.288000000000004,33,80.29061729947318,2022-02-05T14:00:00Z
51,1127,6.0851938,52.50124415,43.651,61.56000000000001,33,81.3303000190196,2022-02-05T14:00:00Z
51,1128,6.08547035,52.50122072,43.554,68.292,33,82.18792540041568,2022-02-05T14:00:00Z
51,1129,6.08575005,52.50119987,43.17,70.38000000000001,33,83.1174426193495,2022-02-05T14:00:00Z
51,1130,6.0860508,52.50117726,42.938,74.44800000000001,33,83.05965508596302,2022-02-05T14:00:00Z
51,1131,6.08635619,52.50115288,42.664,75.492,33,82.63410394175673,2022-02-05T14:00:00Z
51,1132,6.0866666,52.50112909,42.536,76.896,33,82.92571909062889,2022-02-05T14:00:00Z
51,1133,6.08699729,52.50110271,42.461,80.496,33,82.63967496143579,2022-02-05T14:00:00Z
51,1134,6.08733696,52.50107621,42.321,83.48400000000001,33,82.80006889598917,2022-02-05T14:00:00Z
51,1135,6.08768649,52.50104679,41.811,86.436,33,82.23824142897581,2022-02-05T14:00:00Z
